Category,Description
Data Scientist,locations uk europe africa uk london bae systems digital intelligence home digital cyber intelligence experts work collaboratively across countries collect connect understand complex data governments nation states armed forces commercial businesses unlock digital advantage demanding environments job title data scientist requisition id location london offer range hybrid flexible working arrangements
Data Scientist,head data science london days week office per annum share options exciting opportunity arisen fastgrowing fintech business based london looking handson data science leader take charge technical data science initiatives strong focus credit risk machine learning model development role ideal someone enjoys solving complex problems driving technical excellence traditional management r
Data Scientist,senior data scientist human motion tracking pose analysis location london uk hybrid days week onsite type fulltime perm able offer sponsorship stage company join pioneering venturebacked startup revolutionising health industry cuttingedge ai computer vision technologies stellar founding team successful first financial year company gained notable exposure acclaim major media industry showc
Data Scientist,join industry leader technology data scientist expertise pivotal transforming experience users worldwide client prides innovation seeking first senior data scientist push boundaries cuttingedge technology role presents exciting opportunity passionate technology future role responsibilities data scientist play crucial role advancing clients revoluti
Data Scientist,senior data scientist salary depending experience permanent hybrid london saga embarking data transformation journey across established business units cruise insurance travel financial services saga magazine keen make one hire growing team joining high performing inhouse data science working one senior data scientist saga play pivotal role shaping data strate
Data Scientist,looking seniordata scientist experience delivering managing data science models commercial setting join us month fixed term contract data one five strategic pillars n brown already plays really important part key decisions across organisation centralised highly visible giving us scope influence opportunities wherever team use modern cloud technologies build awardwinning data science solutions rewar
Data Scientist,currently seeking experienced data analyst join informatics team lead advanced analyses methodological data inform study design decisions informatics team utilizes informatics principles techniques architect mine analyze visualize clinical trial data inform study design choices pharmaceutical development informaticist create predictive data models identify analyze patterns program compelling visualizations
Data Scientist,role summary responsibilities responsible leveraging machine learning natural language processing expertise within healthcare sector support data science initiatives expand service offerings manage build databases support realworld evidence projects using electronic medical records data visualisation salary per annum depending previous experience benefits discretionary profit share bonuses hybrid working options
Data Scientist,builderai mission make app building easy everyone regardless background tech knowledge budget weve already helped thousands entrepreneurs small businesses global brands like nbc universal pepsi well american organizations like bobcat smart path achieve software goals weve started builderai voted one innovative companies ai fast company europas scaleup
Data Scientist,hiring data scientists want get weeds electricity system optimize usage renewables net zero grid future electricity grid changing beyond recognition without deploying new software orchestrate well unable decarbonise axle building infrastructure thatll underpin decarbonised energy system software crushes co energy costs goal insanely ambitious building team matc
Data Scientist,data scientist salary someone enjoys problem solving curious data insight gained typically role highly numerate mathematical science data background keen develop skills become expert data scientist enjoy working part team good communication interpersonal skills bit job exciting opportunity arisen
Data Scientist,looking exciting opportunity playing instrumental role success governments priority growth programmes wed love hear team growth delivery unit new team established drive delivery chancellors priorities support leadership growth mission governments ambition grow uk economy combining policy analytical project management data science skills monitor progress policies
Data Scientist,role involves working public sector client staff design implement maintain document data products models reports dashboards using modern tools techniques key aims work provide high quality well documented automatically updated data products use client sib staff showcase benefits data science cuttingedge approaches data challenges ensure client organisation take ownership data produc
Data Scientist,external description reach beyond liberty youll find super challenges youll given scope support go dig deeper fly higher wont stand shoulder wont get way certainly wont hold back youll bring expertise well provide platform succeed ready time thing youll working liberty data science group partner directly business stakeholders
Data Scientist,senior data scientist needed ai startup want work genuine greenfield projects want use skills aid education want work like minded individuals latest technologies role youll play pivotal role leveraging data drive strategic sights develop innovative solutions multiple high end educational institutions ideal data scientists thrive startup environment client soon become household name across
Data Scientist,data scientist hybrid days month southampton working leading company retail space looking use data science machine learning better understand customer base role work alongside pre existing data analytics team spearhead previously untouched project area report data science manager area ensure project delivery criteria met utilise companys customer data better understand
Data Scientist,join mission decarbonise grid data scientist heart mind talent proud partner rapidly growing startup thats building future energy grid mission optimise renewable energy usage reduce co emissions make electricity greener affordable everyone energy system transforms faster ever innovative software solutions critical achieving netzero emissions cuttingedge platform uses machine learning shift en
Data Scientist,job title data scientist location widnes originally onsite move hybrid arrangement salary yoh partnered rapidly scaling business pioneering leading datadriven technologies business approach using sensor signal detection work coming cliental within water oil gas industry since completed another round funding signed several large projects help support product roadma
Data Scientist,data scientist london decarbonize grid passionate positive impact society data science influence decarbonization grid data scientist join fastgrowing greentech startup building critical infrastructure accelerate transition netzero underpin decarbonized energy system backed top vcs angel investors previously invested meta bereal slack build greenfield
Data Scientist,senior data scientist ai engineer national security consultancy cheltenham london manchester bonus dv clearance required meritus working global tech consultancy looking experienced data scientist ai engineer join national security consulting team working uk national security customers exciting opportunity design deliver aidriven projects address realworld business challenges across various industries
Data Scientist,climatetech looking make real impact join forwardthinking startup tackling decarbonization accelerating electrification hiring data scientists help shape future energy innovation location london hybrid days per week inoffice mission decarbonise grid advance netzero solutions join work tightknit team engineersscientists business ops collaborating visionary cofounders backed funding offering exci
Data Scientist,preferable yoe salary range depending experience company description smart spaces awardwinning industryleading whitelabel iot platform providing allinone solution building management systems control communication platform smartenables workplaces adding efficiency daily work life occupiers employees property owners managers iot application helps manage everything building granting access system controls e
Data Scientist,senior lead data scientist client uks newest credit card provider deliver range fair flexible easy use financial services products uk consumers help people make smarter decisions money get life joining start journey creates unique opportunity significant impact influence foundational decisions whilst creating opportunity grow career alongside growth compan
Data Scientist,looking exciting opportunity playing instrumental role success governments priority growth programmes wed love hear team growth delivery unit new team established drive delivery chancellors priorities support leadership growth mission governments ambition grow uk economy combining policy analytical project management data science skills monitor progress policies
Data Scientist,seeking passionate data scientist lead endtoend implementation design data science applications various clients join growing practice play leading role ongoing development data science discipline driving innovation best practice adoption motivating empowering domain practitioners create positive creative culture people perform well learn grow youll join talented team dynamic driven professi
Data Scientist,complexio foundational ai works automate business activities ingesting whole company data structured unstructured making sense using proprietary models algorithms complexio forms deep understanding humans interacting using automation replicate improve actions independently complexio joint venture hafnia simbolo partnership marfin management c transport maritime trans sea transport b
Data Scientist,assala energy dynamic oil gas exploration production company committed sustainable development assets gabon value collaborative approach promote diversity prioritize safety integrity operations support creation development datadriven initiatives facilitate transition business processes toward datadriven methodology work following main deliverables provide services developing predictive
Data Scientist,principal data scientist salary aviva exciting opportunity principal data scientist work great team leading delivery innovative data science solutions protection business insurance wealth retirement iwr avivas biggest business unit largest life insurer uk holding shareof uk market role supports protection business number uk market delivering solutions across pricing trading
Data Scientist,principal data scientist london salary national salary aviva looking dynamic principal data scientist support global corporate speciality gcs team insurance industry evolving age rapid technological development organisation aviva investing strengthening machine learning analytics distinctive capability team joining recognised centre excellence global data science de
Data Scientist,data science manager salary circa national circa london passion turning data actionable insights driving strategic decisions problem solver loves solving business problems using data technology bit job data analytics manager lead datadriven initiatives help uncover risks internal audit function analyse complex datasets build predictive models create visual insights using visu
Data Scientist,job title lead data scientist ml ai projects salary location bristol hybrod working unfortunately sponsorship available client full uk working rights required client seeking recruit new lead data scientist lead data science initiatives drive innovation healthcare industry youll opportunity leverage expertise data analysis machine learning within dynamic forwardthinking team shape future hea
Data Scientist,new permanent opportunity dv cleared data scientist cheltenham leading national security defence consultancy client must active dv clearance k doe plus bonuses benefits days site per week cheltenham skills required machine learning awsazure python nlp ai recruiting data scientist dv clearance prestigious client work portfolio public private sector projects client global leader techn
Data Scientist,job title data scientist location shoreditch hybrid days per week onsite duration months contract max budget k k per annum paid holidays pension per day inside ir opportunity looking seasoned passionate data scientist individual contributor drive rapid growing uk express business hybrid role data science data engineering role use data science data engineering skill generate acti
Data Scientist,data scientistdata science analyst private equityinvestment hybrid days week central london office benefits company working market leading private equityinvestment firm bring new data scientist team second hire team plenty room make impact great opportunity data scientist couple years industry experience looking change role closely work team
Data Scientist,data scientist dm info im working leading tech company london thats forefront data science innovation theyre seeking talented data scientist join dynamic team exciting opportunity work cuttingedge projects hybrid work environment job responsibilities develop implement advanced machine learning models algorithms analyze large datasets extract meaningful insights drive business decisions collaborate cr
Data Scientist,data scientist productexperimentation remote day per month uxbridge car allowance bonus company working market leading telecommunications company established data science ai team bring product focused data scientist team looking candidate proven experience experimentation ab testing role work directly senior stakeholders within outside team design conduct experiments
Data Scientist,data scientist productcustomer remote day per month greater london offices cash allowance bonus company working market leading telecommunications company established data science ai team bring product focused data scientist team work new productservice offering looking candidate proven experience segmentation propensity audience targetting etc role work directly senior stakeholders w
Data Scientist,data scientist remote london company company leading online ticketing provider across europe north america partnered venues include historic theatres studio theatres cinemas conference spaces modern live music arenas looking add new data scientist team pricing experience role working closely within team understand troubleshoot maintain endtoend across price optimisation control best prac
Data Scientist,data scientist brighton hybrid days per week company working exciting new role leading ecommerce company company secondhand marketplace ecommerce platform users sell trade preloved items looking add new data scientist team experience pricing role working closely within team understand troubleshoot maintain endtoend across price optimisation control best practices suggest
